name,province,address,longitude,latitude,overview
龙潭里美术馆,福建,福建省宁德市屏南县熙岭乡,119.05534,26.811966,龙潭里美术馆旨在将龙潭村“人人都是艺术家”理念的带动下将整个社区的人文氛围艺术氛围以及整体的审美力、创作力呈现出来。全球首屈一指的龙潭公益画室、龙潭美术馆，不属于某个特定的文化艺术机构，其开创性是东西
土沟乡村美术馆,台湾,台湾省台南市后壁区土沟村,121.509062,25.044332,由南艺大学生开启，而后土沟村村民成立土沟村文化营造协会，发挥每个村民特长，开启土沟村中央公园的重建工作。土沟村美术馆并不是一个实体美术馆，艺术展场散布在农村各个角落，游客游览美术馆需要拿着图纸寻找，或
下聂村的乡村艺术馆,江西,江西省抚州市临川区嵩湖乡下聂村,116.478877,27.906685,张志刚出资修缮三座明清老宅作为自己的工作室及传授陶艺技能的艺术馆，他希望将下聂村变成抚州的“宋庄”。
溪上美术馆,湖南,湖南省常德市灃县甘滩溪镇,111.69905,29.031446,溪上美术馆致力于地方传统文化的保护传承以及农耕文明遗迹的收集整理，被当地人惯称为“雷家大院”。历经十一年的艰苦筹建，形成独特的建筑风格和收藏体系，包括固定在建筑之上的木雕及石雕等不可移动藏品近3000
段江华乡村美术馆,湖南,湖南省浏阳市高坪镇双江村,113.715576,28.191973,由省政协常委、全国知名油画家段江华自筹资金改建而成，是浏阳市第一家集展览、教学、艺术实践、文旅融合等功能为一体的乡村美术馆，将通过举办各类艺术展览，丰富地方艺术氛围，吸引、邀请国内知名艺术机构、艺术家
初心美术馆,湖南,湖南省衡南县栗江镇,112.496342,26.590742,资料暂缺
董继宁美术馆,湖北,湖北省咸宁市咸安区汀泗桥镇长寿村,114.243581,29.822925,由湖北省美术院院长、画家董继宁个人出资，政府大力支持而兴建的公益性文化设施，也是我省首个由艺术家个人出资兴建，并将产权赠予当地政府的美术馆。该馆建筑面积2843平方米，馆内设展览馆、公共画室、学术报告
彭墩美术馆,湖北,湖北省荆门市彭墩村,112.318474,30.978146,湖北第一家村级美术馆
知·美术馆,四川,成都市新津县老君山,103.807509,30.391044,知美术馆旨在当代艺术的国际化语境中，探讨东方美学的过去、现在与未来。与此同时，“知”完全是一个开放的系统，从已知朝向未知，从眼前朝向无限。因而，知美术馆还将探索人自身的灵感与高科技的融合，在新媒体艺术
梨花沟乡村美术馆,四川,成都市金堂县栖贤乡,104.45614,30.869801,退休老人祈宝洪在当地政府的支持下修建而成的梨花沟乡村美术馆坐落在金堂度假村中，该馆于2016年建成，是成都首个乡村专业美术馆，馆内收藏展出的作品大多都由前来梨花沟采风的画家们所创作。
